HS부호,한글품목명,영문품목명,성질통합분류코드,성질통합분류코드명
0101211000,농가 사육용,For farm breeding,11020101,말
0101219000,기타,Other,11020101,말
0101291000,경주말,Horses for racing,11020101,말
0101299000,기타,Other,11020101,말
0101300000,당나귀,Asses,11020190,기타 산 동물
0101900000,기타,Other,11020190,기타 산 동물
0102211000,젖소,For milk ,11020102,소
0102212000,육우(肉牛),For meat,11020102,소
0102219000,기타,Other,11020102,소
0102291000,젖소,For milk ,11020102,소
0102292000,육우(肉牛),For meat,11020102,소
0102299000,기타,Other,11020102,소
0102310000,번식용,Pure-bred breeding animals,11020102,소
0102391000,젖소,For milk ,11020102,소
0102392000,육우(肉牛),For meat,11020102,소
0102399000,기타,Other,11020102,소
0102901000,번식용,Pure-bred breeding animals,11020102,소
0001029090,기타,Other,,
0102909010,젖소,For milk,11020102,소
0102909020,육우(肉牛),For meat,11020102,소
0102909090,기타,Other,11020102,소
0103100000,번식용,Pure-bred breeding animals,11020103,돼지
0103910000,중량이 50킬로그램 미만인 것,Weighing less than 50 kg,11020103,돼지
0103920000,중량이 50킬로그램 이상인 것,Weighing 50 kg or more,11020103,돼지
0104101000,번식용,Pure-bred breeding animals,11020190,기타 산 동물
0104109000,기타,Other,11020190,기타 산 동물
0104201000,젖염소,Milk goats,11020190,기타 산 동물
0104209000,기타,Other,11020190,기타 산 동물
0105111000,번식용,Pure-bred breeding animals,11020104,닭
0105119000,기타,Other,11020104,닭
0105120000,칠면조,Turkeys,11020105,칠면조
0105131000,번식용,Pure-bred breeding animals,11020106,오리
0105139000,기타,Other,11020106,오리
0105140000,거위,Geese,11020190,기타 산 동물
0105150000,기니아새,Guinea fowls,11020190,기타 산 동물
0105941000,번식용,Pure-bred breeding animals,11020104,닭
0105949000,기타,Other,11020104,닭
0001059910,오리,Ducks,,
0105991010,번식용,Pure-bred breeding animals,11020106,오리
0105991090,기타,Other,11020106,오리
0105992000,칠면조,Turkeys,11020105,칠면조
0105999000,기타,Other,11020190,기타 산 동물
0106110000,영장류,Primates,11020190,기타 산 동물
0106121000,"고래ㆍ돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물)","Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)",11020190,기타 산 동물
0106122000,"물개, 바다사자와 바다코끼리(기각아목의 포유동물)","Seals, sea lions and walruses (mammals of the suborder Pinnipedia)",11020190,기타 산 동물
0106130000,낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과],Camels and other camelids (Camelidae),11020190,기타 산 동물
0106141000,번식용,Pure-bred breeding animals,11020190,기타 산 동물
0106149000,기타,Other,11020190,기타 산 동물
0106191000,개,Dogs,11020190,기타 산 동물
0106193000,사슴,Deer,11020190,기타 산 동물
0106194000,곰,Bears,11020190,기타 산 동물
0001061950,여우,Fox,,
0106195010,번식용,Pure-bred breeding animals,11020190,기타 산 동물
0106195090,기타,Other,11020190,기타 산 동물
0001061960,밍크,Mink,,
0106196010,번식용,Pure-bred breeding animals,11020190,기타 산 동물
0106196090,기타,Other,11020190,기타 산 동물
0106199000,기타,Other,11020190,기타 산 동물
0106201000,뱀,Snakes,11020190,기타 산 동물
0106202000,자라,Fresh-water tortoises,11020190,기타 산 동물
0106203000,거북,Turtles,11020190,기타 산 동물
0106209000,기타,Other,11020190,기타 산 동물
0106310000,맹금류,Birds of prey,11020190,기타 산 동물
