ISIC4_국제표준산업분류,ISIC4_분류명,KSIC10_한국표준산업분류,KSIC10_분류명,HS2017_관세통계통합품목분류,HS2017_분류명
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01123,종자 및 묘목 생산업,100111,종자
,,,,100191,종자
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,100119,기타
,,,,100199,기타
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01123,종자 및 묘목 생산업,100510,종자용
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,100590,기타
0112,쌀 재배업,01123,종자 및 묘목 생산업,100610,벼
0112,쌀 재배업,01110,곡물 및 기타 식량작물 재배업,100610,벼
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01123,종자 및 묘목 생산업,100710,종자
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,100790,기타
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01123,종자 및 묘목 생산업,100310,종자
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,100390,기타
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01123,종자 및 묘목 생산업,100210,종자
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,100290,기타
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01123,종자 및 묘목 생산업,100410,종자
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,100490,기타
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01123,종자 및 묘목 생산업,100821,종자
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,100829,기타
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,100810,메밀
,,01123,종자 및 묘목 생산업,,
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,100850,퀴노아(quinoa)[체노포디움 퀴노아(Chenopodium quinoa)]
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,100830,카나리시드(canary seed)
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,100840,포니오(Fonio)[디지타리아(Digitaria)종]
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01123,종자 및 묘목 생산업,100860,라이밀(triticale)
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",,,100890,그 밖의 곡물
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070920,아스파라거스(asparagus)
,,01152,"채소, 화훼 및 과실작물 시설 재배업",,
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070420,방울다다기 양배추
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01152,"채소, 화훼 및 과실작물 시설 재배업",070490,기타
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070410,꽃양배추와 결구(結球) 브로콜리(broccoli)
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070511,결구(結球) 상추
,,01152,"채소, 화훼 및 과실작물 시설 재배업",070519,기타
,,,,070521,위트루프 치커리(Witloof chicory)[시코리엄 인티부스 변종 포리오섬(Cichorium intybus var. foliosum)]
,,,,070529,기타
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070970,시금치류
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070991,글로브 아티초크(globe artichoke)
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01152,"채소, 화훼 및 과실작물 시설 재배업",070999,기타
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,080711,수박
,,01152,"채소, 화훼 및 과실작물 시설 재배업",080711,수박
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,080719,기타
,,01152,"채소, 화훼 및 과실작물 시설 재배업",080719,기타
0128,"향료, 아로마, 약물, 제약 작물 재배업",01121,채소작물 재배업,070960,고추류[캡시컴(Capsicum)속]의 열매나 피멘타(Pimenta)속의 열매
,,01152,"채소, 화훼 및 과실작물 시설 재배업",070960,고추류[캡시컴(Capsicum)속]의 열매나 피멘타(Pimenta)속의 열매
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070700,오이류(신선한 것이나 냉장한 것으로 한정한다)
